test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,1,1,0,1,128,256,3,2,0,0,0,0,0,0.046784,425808.000000,0,0.157230
ofs-update,1,1,0,1,128,256,3,2,16,0.027418,182272.000000,0.027206,146816.000000,0,0,16.000000,0.157230
ofs-update,1,1,0,1,128,256,3,2,128,0.026727,178912.000000,0.026216,175552.000000,0,0,128.000000,0.157230
ofs-update,1,1,0,1,32,2048,3,2,0,0,0,0,0,0.225916,1753680.000000,0,0.859917
ofs-update,1,1,0,1,32,2048,3,2,16,0.173962,902784.000000,0.198701,817472.000000,0,0,16.000000,0.859917
ofs-update,1,1,0,1,32,2048,3,2,128,0.070496,455392.000000,0.060726,359936.000000,0,0,128.000000,0.859917
ofs-update,1,1,0,1,32,2048,3,2,1024,0.064820,451072.000000,0.061565,447232.000000,0,0,1024.000000,0.859917
ofs-update,1,1,0,1,32,16384,3,2,0,0,0,0,0,1.660809,13576272.000000,0,3.071224
ofs-update,1,1,0,1,32,16384,3,2,16,0.457791,2004480.000000,0.236780,1019200.000000,0,0,16.000000,3.071224
ofs-update,1,1,0,1,32,16384,3,2,128,0.103848,2055808.000000,0.147734,1265504.000000,0,0,128.000000,3.071224
ofs-update,1,1,0,1,32,16384,3,2,1024,0.105458,2057248.000000,0.117400,2056288.000000,0,0,1024.000000,3.071224
ofs-update,1,1,0,1,32,16384,3,2,4096,0.109091,2057248.000000,0.126638,2053888.000000,0,0,4096.000000,3.071224
ofs-update,1,1,0,1,32,131072,3,2,0,0,0,0,0,12.299742,106746960.000000,0,14.340729
ofs-update,1,1,0,1,32,131072,3,2,16,0.447265,2541888.000000,0.338546,1744224.000000,0,0,16.000000,14.340729
ofs-update,1,1,0,1,32,131072,3,2,128,0.200518,13355776.000000,0.205097,7051808.000000,0,0,128.000000,14.340729
ofs-update,1,1,0,1,32,131072,3,2,1024,0.198360,13355296.000000,0.218942,13355296.000000,0,0,1024.000000,14.340729
ofs-update,1,1,0,1,32,131072,3,2,4096,0.206293,13374016.000000,0.211902,13354816.000000,0,0,4096.000000,14.340729
ofs-update,1,1,0,1,32,1048576,3,2,0,0,0,0,0,91.437439,1179423360.000000,0,96.470252
ofs-update,1,1,0,1,32,1048576,3,2,16,0.657571,4158016.000000,0.514608,2769728.000000,0,0,16.000000,96.470252
ofs-update,1,1,0,1,32,1048576,3,2,128,0.815119,41229600.000000,0.785450,4382656.000000,0,0,128.000000,96.470252
ofs-update,1,1,0,1,32,1048576,3,2,1024,0.655544,75777568.000000,0.439999,38485664.000000,0,0,1024.000000,96.470252
ofs-update,1,1,0,1,32,1048576,3,2,4096,0.612134,75801088.000000,0.443502,38463104.000000,0,0,4096.000000,96.470252
ofs-update,1,1,0,1,32,8388608,3,2,0,0,0,0,0,789.660149,9415240320.000000,0,799.083820
ofs-update,1,1,0,1,32,8388608,3,2,16,1.102921,6790624.000000,0.817095,4332512.000000,0,0,16.000000,799.083820
ofs-update,1,1,0,1,32,8388608,3,2,128,1.450870,9551616.000000,0.748893,4353152.000000,0,0,128.000000,799.083820
ofs-update,1,1,0,1,32,8388608,3,2,1024,1.471600,338880032.000000,0.968633,170241856.000000,0,0,1024.000000,799.083820
ofs-update,1,1,0,1,32,8388608,3,2,4096,1.364165,338857952.000000,0.972181,170251936.000000,0,0,4096.000000,799.083820
ofs-update,1,1,0,1,32,32,3,2,0,0,0,0,0,0.012567,14880.000000,0,0.037462
ofs-update,1,1,0,1,32,32,3,2,16,0.010216,27616.000000,0.011885,27008.000000,0,0,16.000000,0.037462
ofs-update,1,1,0,1,32,256,3,2,0,0,0,0,0,0.032145,122400.000000,0,0.151752
ofs-update,1,1,0,1,32,256,3,2,16,0.029648,127840.000000,0.030165,125600.000000,0,0,16.000000,0.151752
ofs-update,1,1,0,1,32,256,3,2,128,0.026888,127840.000000,0.029130,123520.000000,0,0,128.000000,0.151752
ofs-update,1,1,0,1,4096,2048,3,2,0,0,0,0,0,0.416132,68078160.000000,0,1.352652
ofs-update,1,1,0,1,4096,2048,3,2,16,0.238966,25864800.000000,0.210883,9128064.000000,0,0,16.000000,1.352652
ofs-update,1,1,0,1,4096,2048,3,2,128,0.126601,17104896.000000,0.097654,8675808.000000,0,0,128.000000,1.352652
ofs-update,1,1,0,1,4096,2048,3,2,1024,0.124758,17097696.000000,0.126022,17097216.000000,0,0,1024.000000,1.352652
ofs-update,1,1,0,1,4096,16384,3,2,0,0,0,0,0,2.824678,545732688.000000,0,6.463371
ofs-update,1,1,0,1,4096,16384,3,2,16,0.493458,33212640.000000,0.259905,11424480.000000,0,0,16.000000,6.463371
ofs-update,1,1,0,1,4096,16384,3,2,128,0.485196,135216800.000000,0.415653,67865440.000000,0,0,128.000000,6.463371
ofs-update,1,1,0,1,4096,16384,3,2,1024,0.500999,135225440.000000,0.478075,135208640.000000,0,0,1024.000000,6.463371
ofs-update,1,1,0,1,4096,16384,3,2,4096,0.465654,135219680.000000,0.493916,135214400.000000,0,0,4096.000000,6.463371
ofs-update,1,1,0,1,4096,131072,3,2,0,0,0,0,0,31.421438,8603264640.000000,0,52.657962
ofs-update,1,1,0,1,4096,131072,3,2,16,0.590619,52481280.000000,0.395139,26697120.000000,0,0,16.000000,52.657962
ofs-update,1,1,0,1,4096,131072,3,2,128,3.582326,1615381728.000000,2.022762,808088064.000000,0,0,128.000000,52.657962
