test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,1,0,1,128,1048576,3,2,1024,1.125696,251915056.000000,0.664482,126456848.000000,0,0,1024.000000,44.408318
ofs-update,0,1,0,1,128,1048576,3,2,4096,1.165633,251895136.000000,0.634980,126486608.000000,0,0,4096.000000,44.408318
ofs-update,0,1,0,1,128,8388608,3,2,0,0,0,0,0,279.672840,22274878080.000000,0,307.966747
ofs-update,0,1,0,1,128,8388608,3,2,16,0.750998,12923200.000000,0.462868,6416240.000000,0,0,16.000000,307.966747
ofs-update,0,1,0,1,128,8388608,3,2,128,0.997641,18868800.000000,0.469131,7194080.000000,0,0,128.000000,307.966747
ofs-update,0,1,0,1,128,8388608,3,2,1024,3.944281,1144101920.000000,2.501774,572692720.000000,0,0,1024.000000,307.966747
ofs-update,0,1,0,1,128,8388608,3,2,4096,6.163626,1144108640.000000,2.187172,572770000.000000,0,0,4096.000000,307.966747
ofs-update,0,1,0,1,128,32,3,2,0,0,0,0,0,0.004968,14880.000000,0,0.048008
ofs-update,0,1,0,1,128,32,3,2,16,0.007800,33520.000000,0.009681,24080.000000,0,0,16.000000,0.048008
ofs-update,0,1,0,1,128,256,3,2,0,0,0,0,0,0.020061,425808.000000,0,0.165578
ofs-update,0,1,0,1,128,256,3,2,16,0.024203,170512.000000,0.021982,115616.000000,0,0,16.000000,0.165578
ofs-update,0,1,0,1,128,256,3,2,128,0.023531,173632.000000,0.028276,180112.000000,0,0,128.000000,0.165578
ofs-update,0,1,0,1,32,2048,3,2,0,0,0,0,0,0.072049,1753680.000000,0,0.668159
ofs-update,0,1,0,1,32,2048,3,2,16,0.133962,885744.000000,0.124105,621392.000000,0,0,16.000000,0.668159
ofs-update,0,1,0,1,32,2048,3,2,128,0.058144,449392.000000,0.045512,330896.000000,0,0,128.000000,0.668159
ofs-update,0,1,0,1,32,2048,3,2,1024,0.052143,441712.000000,0.058641,443872.000000,0,0,1024.000000,0.668159
ofs-update,0,1,0,1,32,16384,3,2,0,0,0,0,0,0.317367,13576272.000000,0,1.466535
ofs-update,0,1,0,1,32,16384,3,2,16,0.330378,1911600.000000,0.125666,687040.000000,0,0,16.000000,1.466535
ofs-update,0,1,0,1,32,16384,3,2,128,0.089528,2032768.000000,0.091007,1235504.000000,0,0,128.000000,1.466535
ofs-update,0,1,0,1,32,16384,3,2,1024,0.087990,2052928.000000,0.094496,2032288.000000,0,0,1024.000000,1.466535
ofs-update,0,1,0,1,32,16384,3,2,4096,0.088021,2047408.000000,0.093717,2040208.000000,0,0,4096.000000,1.466535
ofs-update,0,1,0,1,32,131072,3,2,0,0,0,0,0,2.424888,106746960.000000,0,4.911616
